name,mode,use_fill16,r,g,b,w,lower_r,lower_g,lower_b,lower_w,upper_r,upper_g,upper_b,upper_w,r16,g16,b16,w16,bfi_r,bfi_g,bfi_b,bfi_w,repeat_index,solver_mode,ok,returncode,elapsed_s,timed_out,X,Y,Z,x,y,stdout,stderr
gray_q16_00000,fill16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,0,7.38245153427124,False,0.0,0.0,0.0,0.333333,0.333333,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 0.000000 0.000000 0.000000, Yxy: 0.000000 0.333333 0.333333
",
gray_q16_00131,fill16,1,1,1,1,0,0,0,0,0,0,0,0,0,131,131,131,0,0,0,0,0,0,1,True,0,6.716126441955566,False,1.548341,1.868337,3.525709,0.223027,0.26912,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 1.548341 1.868337 3.525709, Yxy: 1.868337 0.223027 0.269120
",
gray_q16_00262,fill16,1,1,1,1,0,0,0,0,0,0,0,0,0,262,262,262,0,0,0,0,0,0,1,True,0,4.311054944992065,False,2.804931,3.461056,7.119939,0.209543,0.258559,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 2.804931 3.461056 7.119939, Yxy: 3.461056 0.209543 0.258559
",
gray_q16_00393,fill16,1,2,2,2,0,0,0,0,0,0,0,0,0,393,393,393,0,0,0,0,0,0,1,True,0,3.221801519393921,False,4.208352,5.237201,10.276251,0.213386,0.265554,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 4.208352 5.237201 10.276251, Yxy: 5.237201 0.213386 0.265554
",
gray_q16_00525,fill16,1,2,2,2,0,0,0,0,0,0,0,0,0,525,525,525,0,0,0,0,0,0,1,True,0,2.8083152770996094,False,5.595076,7.042768,13.829286,0.211397,0.266095,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 5.595076 7.042768 13.829286, Yxy: 7.042768 0.211397 0.266095
",
gray_q16_00656,fill16,1,3,3,3,0,0,0,0,0,0,0,0,0,656,656,656,0,0,0,0,0,0,1,True,0,2.5518136024475098,False,7.0994,8.700786,17.82559,0.21113,0.258753,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 7.099400 8.700786 17.825590, Yxy: 8.700786 0.211130 0.258753
",
gray_q16_00787,fill16,1,3,3,3,0,0,0,0,0,0,0,0,0,787,787,787,0,0,0,0,0,0,1,True,0,2.265554904937744,False,8.509082,10.500401,20.916083,0.213124,0.262999,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 8.509082 10.500401 20.916083, Yxy: 10.500401 0.213124 0.262999
",
gray_q16_00919,fill16,1,4,4,4,0,0,0,0,0,0,0,0,0,919,919,919,0,0,0,0,0,0,1,True,0,2.219956636428833,False,9.82909,12.124144,24.515436,0.211521,0.26091,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 9.829090 12.124144 24.515436, Yxy: 12.124144 0.211521 0.260910
",
gray_q16_01050,fill16,1,4,4,4,0,0,0,0,0,0,0,0,0,1050,1050,1050,0,0,0,0,0,0,1,True,0,2.0424246788024902,False,11.248837,13.936322,27.715593,0.21264,0.263443,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 11.248837 13.936322 27.715593, Yxy: 13.936322 0.212640 0.263443
",
gray_q16_01181,fill16,1,5,5,5,0,0,0,0,0,0,0,0,0,1181,1181,1181,0,0,0,0,0,0,1,True,0,2.0368776321411133,False,12.497455,15.529839,31.314846,0.2106,0.2617,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 12.497455 15.529839 31.314846, Yxy: 15.529839 0.210600 0.261700
",
gray_q16_01313,fill16,1,5,5,5,0,0,0,0,0,0,0,0,0,1313,1313,1313,0,0,0,0,0,0,1,True,0,1.912696123123169,False,14.137242,17.363009,34.762194,0.213352,0.262034,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 14.137242 17.363009 34.762194, Yxy: 17.363009 0.213352 0.262034
",
gray_q16_01444,fill16,1,6,6,6,0,0,0,0,0,0,0,0,0,1444,1444,1444,0,0,0,0,0,0,1,True,0,1.8576343059539795,False,15.46128,18.88874,38.398401,0.212531,0.259645,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 15.461280 18.888740 38.398401, Yxy: 18.888740 0.212531 0.259645
",
gray_q16_01575,fill16,1,6,6,6,0,0,0,0,0,0,0,0,0,1575,1575,1575,0,0,0,0,0,0,1,True,0,1.8658685684204102,False,16.844838,20.845654,41.932098,0.211559,0.261806,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 16.844838 20.845654 41.932098, Yxy: 20.845654 0.211559 0.261806
",
gray_q16_01707,fill16,1,7,7,7,0,0,0,0,0,0,0,0,0,1707,1707,1707,0,0,0,0,0,0,1,True,0,1.8607137203216553,False,18.222154,22.608756,45.164611,0.211897,0.262906,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 18.222154 22.608756 45.164611, Yxy: 22.608756 0.211897 0.262906
",
gray_q16_01838,fill16,1,7,7,7,0,0,0,0,0,0,0,0,0,1838,1838,1838,0,0,0,0,0,0,1,True,0,1.7659804821014404,False,19.373125,24.057441,48.502782,0.21073,0.261684,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 19.373125 24.057441 48.502782, Yxy: 24.057441 0.210730 0.261684
",
gray_q16_01969,fill16,1,8,8,8,0,0,0,0,0,0,0,0,0,1969,1969,1969,0,0,0,0,0,0,1,True,0,1.7293262481689453,False,20.813693,25.886314,52.351905,0.210129,0.261341,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 20.813693 25.886314 52.351905, Yxy: 25.886314 0.210129 0.261341
",
gray_q16_02101,fill16,1,8,8,8,0,0,0,0,0,0,0,0,0,2101,2101,2101,0,0,0,0,0,0,1,True,0,1.7741940021514893,False,22.038331,27.379972,55.257339,0.210539,0.26157,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 22.038331 27.379972 55.257339, Yxy: 27.379972 0.210539 0.261570
",
gray_q16_02232,fill16,1,9,9,9,0,0,0,0,0,0,0,0,0,2232,2232,2232,0,0,0,0,0,0,1,True,0,1.6908104419708252,False,23.821379,29.365292,59.515282,0.211366,0.260557,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 23.821379 29.365292 59.515282, Yxy: 29.365292 0.211366 0.260557
",
gray_q16_02363,fill16,1,9,9,9,0,0,0,0,0,0,0,0,0,2363,2363,2363,0,0,0,0,0,0,1,True,0,1.7317237854003906,False,25.260069,31.024326,63.157597,0.211484,0.259744,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 25.260069 31.024326 63.157597, Yxy: 31.024326 0.211484 0.259744
",
gray_q16_02495,fill16,1,10,10,10,0,0,0,0,0,0,0,0,0,2495,2495,2495,0,0,0,0,0,0,1,True,0,1.652419090270996,False,26.601974,33.013862,66.059372,0.211672,0.262692,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 26.601974 33.013862 66.059372, Yxy: 33.013862 0.211672 0.262692
",
gray_q16_02626,fill16,1,10,10,10,0,0,0,0,0,0,0,0,0,2626,2626,2626,0,0,0,0,0,0,1,True,0,1.664029836654663,False,27.928367,34.614341,70.090725,0.210568,0.260977,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 27.928367 34.614341 70.090725, Yxy: 34.614341 0.210568 0.260977
",
gray_q16_02757,fill16,1,11,11,11,0,0,0,0,0,0,0,0,0,2757,2757,2757,0,0,0,0,0,0,1,True,0,1.6256380081176758,False,29.330394,36.27683,73.024055,0.211571,0.261679,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 29.330394 36.276830 73.024055, Yxy: 36.276830 0.211571 0.261679
",
gray_q16_02889,fill16,1,11,11,11,0,0,0,0,0,0,0,0,0,2889,2889,2889,0,0,0,0,0,0,1,True,0,1.6580579280853271,False,31.098055,38.040533,76.61544,0.21336,0.260991,"
Place instrument on spot to be measured,
and hit [A-Z] to read white and setup FWA compensation (keyed to letter)
[a-z] to read and make FWA compensated reading from keyed reference
'r' to set reference, 's' to save spectrum,
'f' to report cal. refresh rate, 'F' to measure refresh rate
'h' to toggle high res., 'k' to do a calibration
Hit ESC or Q to exit, any other key to take a reading: 
 Result is XYZ: 31.098055 38.040533 76.615440, Yxy: 38.040533 0.213360 0.260991
",
