mode,lower_value,upper_value,value,bfi,estimated_output,output_q16,normalized_output
fill8,0,0,0,0,0.0,0,0.0
blend8,0,1,1,4,0.709189,30,0.00045777065690089265
blend8,0,1,1,3,1.42158,60,0.0009155413138017853
blend8,0,2,2,4,1.976202,84,0.0012817578393224994
blend8,0,1,1,2,2.135027,91,0.0013885709925993744
blend8,0,1,1,1,2.847208,121,0.001846341649500267
blend8,0,3,3,4,3.222108,137,0.0020904859998474097
fill8,0,1,1,0,3.633317,154,0.002349889372091249
blend8,0,2,2,3,3.951339,168,0.002563515678644999
blend8,0,4,4,4,4.478139,190,0.0028992141603723202
blend8,1,2,2,4,4.831136,205,0.0031280994888227666
blend8,0,5,5,4,5.720234,243,0.0037079423208972303
blend8,0,2,2,2,5.927286,252,0.0038452735179674985
blend8,1,3,3,4,6.078449,258,0.003936827649347677
blend8,1,2,2,3,6.094656,259,0.003952086671244373
blend8,0,3,3,3,6.444671,274,0.0041809719996948195
blend8,0,6,6,4,6.965731,296,0.004516670481422141
blend8,1,4,4,4,7.326275,311,0.004745555809872587
blend8,1,2,2,2,7.361247,313,0.00477607385366598
blend8,0,2,2,1,7.896136,335,0.005111772335393301
blend8,0,7,7,4,8.204898,348,0.005310139620050355
blend8,1,5,5,4,8.576729,364,0.005554283970397498
blend8,1,3,3,3,8.592901,365,0.005569542992294194
blend8,1,2,2,1,8.62227,366,0.0055848020141908905
blend8,0,4,4,3,8.954096,380,0.0057984283207446405
blend8,0,8,8,4,9.470633,402,0.0061341268024719614
blend8,0,3,3,2,9.667608,410,0.006256198977645533
blend8,1,6,6,4,9.816933,417,0.006363012130922408
fill8,0,2,2,0,10.142323,431,0.006576638437476158
blend8,0,9,9,4,10.688883,454,0.006927595941100175
blend8,1,7,7,4,11.04701,469,0.0071564812695506215
blend8,1,4,4,3,11.101811,471,0.007186999313344014
blend8,1,3,3,2,11.10748,472,0.0072022583352407115
blend8,2,3,3,4,11.16081,474,0.007232776379034104
blend8,0,5,5,3,11.449581,486,0.007415884641794461
blend8,0,10,10,4,11.9269,506,0.00772106507972839
blend8,1,8,8,4,12.292809,522,0.007965209430075532
blend8,2,3,3,3,12.41111,527,0.008041504539559013
